Sample,A3-A3b-A3at-A3ax,A3-A3at-A3b-A3q-A3s,A3-A3s-A3q,A3,A3-A3b-A3av-A3au-A3aw,A4,B18b,B18c,B5,C3/C3.10,C1/C3-C42.2-C1dl-C3gl-C3gm-C3gk,C3-C1-C3.10,C3-C1dk-C15hx,C3-C3go-C6c-C3gq-C3gp-C3gn-C3dw,C16/C3-C16b,C3-C3hb-C3ge-C3hc-C1dk,C3-C3gr-C3gt-C3gs-C3.10,C3/C1,C3
SFK115,0,0,0,0,0,0,0,0,0,10160,0,0,0,0,0,0,0,0,0
SFK022,0,0,0,0,0,0,0,0,0,16156,0,0,0,0,0,0,0,0,0
SFK025,0,296,0,0,0,0,0,0,0,11448,0,0,0,0,0,0,0,0,0
SFK095,0,0,0,0,0,0,0,0,0,14380,0,0,0,0,0,0,0,0,0
SFK170,0,0,0,0,0,0,0,0,0,12626,0,0,0,0,0,0,0,0,0
SFK175,0,0,0,0,0,0,0,0,0,21863,0,0,0,0,0,0,0,0,0
SFK111,0,0,0,0,0,0,0,0,0,12571,0,0,0,0,0,0,0,0,0
SFK195,0,0,0,0,0,0,0,0,0,22772,0,0,0,0,0,0,0,0,0
SFK017,0,0,0,0,0,0,0,0,0,15535,0,0,0,0,0,0,0,0,0
SFK214,0,0,0,0,0,0,0,0,0,4935,0,0,0,0,0,0,0,0,0
SFK102,0,0,0,0,0,0,0,0,0,15960,0,0,0,0,0,0,0,0,0
SFK192,0,0,0,0,0,0,0,0,0,12356,0,0,0,0,0,0,0,0,0
SFK024,0,0,0,0,0,0,0,0,0,11269,0,0,0,0,0,0,0,0,0
SFK126,0,0,0,0,0,0,0,0,0,14090,0,0,0,0,0,0,0,0,0
SFK107,0,0,0,0,0,0,0,0,0,17103,0,0,0,0,0,0,0,0,0
SFK180,0,0,0,0,0,0,0,0,0,15081,0,0,0,0,0,0,0,0,0
SFK198,0,0,0,0,0,0,0,0,0,15919,0,0,0,0,0,0,0,0,0
SFK113,0,0,0,0,0,0,0,0,0,15857,0,0,0,0,0,0,0,0,0
SFK169,0,0,0,0,0,0,0,0,0,18929,0,0,0,0,0,0,0,0,0
SFK029,0,0,0,0,0,0,0,0,0,18992,0,0,0,0,0,0,0,0,0
SFK023,0,0,0,0,0,0,0,0,0,9236,0,0,0,0,0,0,0,0,0
SFK112,0,0,0,0,0,0,0,0,0,14619,0,0,0,0,0,0,0,0,0
SFK154,0,0,0,0,0,0,0,0,0,9312,0,0,0,0,0,0,0,0,0
SFK031,0,0,0,0,0,0,0,0,0,15030,0,0,0,0,0,0,0,0,0
SFK014,0,0,0,0,0,0,0,0,0,11776,0,0,0,0,0,0,0,0,0
SFK030,0,0,0,0,0,0,0,0,0,16045,0,0,0,0,0,0,0,0,0
SFK127,0,0,0,0,0,0,0,0,0,17133,0,0,0,0,0,0,0,0,0
SFK211,0,0,0,0,0,0,0,0,0,13859,0,0,0,0,0,0,0,0,0
SFK020,0,0,0,0,0,0,0,0,0,13107,0,0,0,0,0,0,0,0,0
