ITS2 type profile UID	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
105141	A	A3	S. natans,S. tridacnidorum	32	36	A3-A3b-A3at-A3ax	22385-62746-43946-34349	0.896[0.046]-0.055[0.024]-0.027[0.017]-0.022[0.012]
106051	A	A3	S. natans,S. tridacnidorum	15	15	A3-A3at-A3b-A3q-A3s	22385-43946-62746-22438-63388	0.886[0.040]-0.039[0.031]-0.036[0.015]-0.022[0.018]-0.017[0.013]
105115	A	A3	S. natans,S. tridacnidorum	11	26	A3-A3s-A3q	22385-63388-22438	0.951[0.016]-0.025[0.009]-0.024[0.009]
105077	A	A3	S. natans,S. tridacnidorum	10	125	A3	22385	1.000[0.000]
105136	A	A3	S. natans,S. tridacnidorum	2	5	A3-A3b-A3av-A3au-A3aw	22385-62746-35893-50832-50831	0.801[0.020]-0.079[0.012]-0.045[0.004]-0.038[0.001]-0.037[0.004]
105014	A	A4	S. linucheae	1	39	A4	29206	1.000[nan]
105258	B	B18b	None	1	2	B18b	71507	1.000[nan]
105259	B	B18c	None	1	2	B18c	44807	1.000[nan]
105214	B	B5	None	1	35	B5	29665	1.000[nan]
105656	C	C3	None	59	98	C3/C3.10	32-71	0.969[0.013]-0.031[0.013]
105657	C	C1/C3	S. goreaui	46	46	C1/C3-C42.2-C1dl-C3gl-C3gm-C3gk	2/32-1-17875-59-23471-119	0.596[0.151]/0.176[0.203]-0.065[0.019]-0.055[0.017]-0.041[0.013]-0.037[0.011]-0.029[0.008]
105654	C	C3	None	27	30	C3-C1-C3.10	32-71-2	0.944[0.042]-0.029[0.013]-0.028[0.037]
105655	C	C3	None	18	19	C3-C1dk-C15hx	32-2084-1390081	0.898[0.018]-0.058[0.015]-0.045[0.017]
105658	C	C3	None	13	13	C3-C3go-C6c-C3gq-C3gp-C3gn-C3dw	32-1398465-1398414-1402191-1402024-1400736-23351	0.503[0.096]-0.222[0.045]-0.064[0.025]-0.057[0.015]-0.056[0.018]-0.054[0.020]-0.044[0.010]
105660	C	C16/C3	None	12	13	C16/C3-C16b	40206/32-40210	0.683[0.233]/0.186[0.265]-0.131[0.073]
106253	C	C3	None	11	11	C3-C3hb-C3ge-C3hc-C1dk	32-54338-1010-25924-2084	0.668[0.045]-0.193[0.036]-0.064[0.037]-0.040[0.015]-0.035[0.023]
105659	C	C3	None	6	6	C3-C3gr-C3gt-C3gs-C3.10	32-72280-1400415-1402217-71	0.634[0.122]-0.239[0.089]-0.049[0.024]-0.043[0.019]-0.035[0.010]
105511	C	C3	S. goreaui	2	128	C3/C1	32-2	0.894[0.025]-0.106[0.025]
105431	C	C3	None	1	43	C3	32	1.000[nan]
