sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A3	A3b	A3at	A3ax	43947_A	34778_A	495083_A	36534_A	34149_A	50854_A	A3av	A3s	A3q	33981_A	1402229_A	A3au	A3aw	50835_A	34175_A	33953_A	A3r	1402205_A	364481_A	363583_A	A4	1402230_A	50833_A	50842_A	363143_A	72388_A	363606_A	797686_A	22386_A	529468_A	34696_A	363636_A	1402231_A	34151_A	364459_A	363570_A	363645_A	363578_A	1402232_A	364267_A	363625_A	50845_A	363142_A	1402267_A	22415_A	363639_A	905679_A	363598_A	363706_A	363685_A	1402206_A	1402233_A	1402235_A	43753_A	500385_A	1402234_A	A3d	1402202_A	1402236_A	364620_A	363593_A	367833_A	22400_A	50850_A	22463_A	363687_A	693524_A	37988_A	66961_A	22436_A	363590_A	22426_A	45527_A	A6b	36953_A	363563_A	37985_A	693526_A	22451_A	33927_A	1402203_A	A4.3	35200_A	22392_A	65140_A	1402245_A	364567_A	364639_A	1402216_A	22464_A	22429_A	49905_A	49571_A	29211_A	36825_A	364218_A	1402237_A	363617_A	73521_A	364172_A	363654_A	1402274_A	49906_A	37990_A	50843_A	363674_A	363646_A	33878_A	1402268_A	1402282_A	22444_A	373280_A	1402238_A	366219_A	69439_A	B5	B18c	B18b	1402208_B	1402209_B	45548_B	1402210_B	43411_B	37534_B	1402211_B	1402212_B	1402213_B	1160454_B	1402214_B	1402215_B	37591_B	B5ai	1402254_B	71511_B	1402256_B	71527_B	1402255_B	1402257_B	71517_B	71509_B	71508_B	1402258_B	71518_B	71510_B	1402259_B	368876_B	1402260_B	50427_B	1402262_B	71525_B	71523_B	71515_B	368004_B	1402261_B	71526_B	71524_B	1402266_B	1402265_B	1402264_B	1402263_B	43545_B	1402252_B	900132_B	1390171_B	1402253_B	B1	1402276_B	1402280_B	38112_B	C3	C1	C16	C3go	C3.10	C42.2	C1dl	C3gm	C3gl	C3hb	C3gr	C16b	110271_C	334025_C	C3gk	C1dk	22330_C	11408_C	18596_C	21897_C	C6c	C3gq	C3gp	65808_C	C3gn	C15hx	C3dw	C1cy	1402187_C	20795_C	C93.1	65703_C	385070_C	C3ge	1402188_C	1372_C	3238_C	95094_C	C3hc	24879_C	91373_C	3699_C	C3gt	C3dz	20934_C	C1af	C3gs	25557_C	40208_C	470358_C	40209_C	1402193_C	2239_C	1402195_C	C16a	17495_C	17534_C	2097_C	40211_C	93722_C	C1v	40207_C	40212_C	1402196_C	1402197_C	9944_C	1402198_C	1402219_C	470998_C	54162_C	22574_C	20921_C	33343_C	1402200_C	25492_C	1402218_C	3240_C	2037_C	85729_C	5371_C	1402225_C	909389_C	1402207_C	C3ag	2428_C	1402220_C	4062_C	103828_C	1402199_C	1398518_C	90670_C	1402204_C	1402227_C	1402248_C	C6b	1402247_C	1402194_C	870_C	71029_C	C3ga	91285_C	1402192_C	1402244_C	C1bz	18746_C	1402228_C	694_C	C3i	1402250_C	1402243_C	C21	1402281_C	C3ca	9108_C	11201_C	11191_C	7821_C	1402273_C	C3ck	1402240_C	1402249_C	99988_C	1356_C	69324_C	24193_C	C3bb	C40f	1401572_C	47282_C	16815_C	5726_C	1402270_C	1402221_C	C1ap	1402275_C	21673_C	69758_C	C1bt	1402269_C	2943_C	C70	1402271_C	42218_C	1402277_C	9807_C	C1ai	C3t	54249_C	26258_C	1402278_C	1402272_C	C1x	40218_C	21804_C	1402279_C	C3de	13929_C	23354_C	1402223_C	99010_C	983542_C	3366_C	1402226_C	1402222_C	42529_C	2152_C	62532_C	4558_C	2427_C	1829_C	C3fo	18793_C	11809_C	31248_C	1402241_C	816_C	921460_C	C3ao	C3an	C3cn	3241_C	103581_C	21093_C	1402224_C	18813_C	1402201_C	22869_C	23865_C	C6a	C1j	1402239_C	3434_C	22178_C	17016_C	1402242_C	42518_C	54160_C	873_C	C50f	1402246_C	1390080_C	113247_C	99987_C	3601_C	1866_C	1402251_C	2895_C	9153_C	C3fn	866_C	864_C	18159_C	990_C	1402189_C	21205_C	C3fc	871_C	1402190_C	8117_C	55844_C	54218_C	51874_C	874099_C	27927_C	C65b	46049_C	37410_C	28411_C	D1	G3l	G3b
127738	SFK115	SFK115_S239_L001_R1_001.fastq.gz	59d5a38e2f04c4f837ca513dd6bf2cd1205f98ee73947e85104bf974bdb4a9d4	SFK115_S239_L001_R2_001.fastq.gz	80d0e84a4cab774899c4f6d9cabf9fe9a70a03503fa67df667c3b63834fbed57	24346	11270	488	11250	484	0	0	20	4	10933	10	0	0	761	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Astrocoeniidae	Stephanocoenia	intersepta	24.49395667	-81.58831167	08.26.19	33.5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10037	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	58	0	0	90	0	0	0	54	0	0	0	0	181	0	0	144	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127645	SFK022	SFK022_S146_L001_R1_001.fastq.gz	3e1ae912ebc763968f899bcb8ec1e69e6c8864c61191e47e67849c3e25b9d71b	SFK022_S146_L001_R2_001.fastq.gz	1820e23fd7ea1176e2be770e5770aac481a3ee7afe2482276c4e9574c64d693e	40235	18436	611	18416	609	17	1	3	1	17436	12	0	0	1273	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Astrocoeniidae	Stephanocoenia	intersepta	24.64042000	-83.10294333	08.23.19	31.1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15896	0	0	0	260	0	0	0	0	0	0	0	164	158	0	0	150	0	0	157	0	0	0	0	0	0	0	0	120	0	0	0	0	0	93	0	135	0	0	188	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127648	SFK025	SFK025_S149_L001_R1_001.fastq.gz	6a8a45e8d7993676117733934af98f25f810604296f4f3166ab787650d0e0e41	SFK025_S149_L001_R2_001.fastq.gz	e51152ac326b92ad472ef69447a0c5059c491c9383505b8d62ba6db9e0e18600	28332	12986	526	12980	525	6	1	0	0	12439	21	28	0	661	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Astrocoeniidae	Stephanocoenia	intersepta	24.64042000	-83.10294333	08.23.19	30.5	242	7	7	0	6	0	0	7	0	0	0	17	23	5	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11333	0	0	0	115	0	0	0	0	0	0	0	67	68	0	0	85	0	0	91	0	0	0	0	0	0	0	0	0	0	0	68	0	0	76	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127718	SFK095	SFK095_S219_L001_R1_001.fastq.gz	b24956793ef665487b3517493b2edf4c09bddf2be7985bf9963197decd59836c	SFK095_S219_L001_R2_001.fastq.gz	1a17ea15fbcfea6d1a4dfebdc44d407df90157be54c5b001a7fb170bafe2dc37	35699	16204	637	16182	636	22	1	0	0	15642	11	0	0	1019	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Astrocoeniidae	Stephanocoenia	intersepta	24.48796500	-83.11390000	08.25.19	30.8	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13663	0	0	0	717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	88	0	0	0	0	133	0	229	96	0	0	120	185	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127792	SFK170	SFK170_S293_L001_R1_001.fastq.gz	0fa8ad06593131c24e218f7f31f926e5998225d44559b4e0dea48d26a373e17d	SFK170_S293_L001_R2_001.fastq.gz	dcbd7fc8fbbf73178b609a6eb738a046506bf627a1774d4423e9b875e6cf1545	31624	14127	564	14119	563	8	1	0	0	13810	15	0	0	1077	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Astrocoeniidae	Stephanocoenia	intersepta	25.15823333	-80.22064000	08.27.19	43.3	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12007	0	0	0	619	0	0	0	0	0	0	0	102	120	0	0	83	0	0	93	0	0	0	106	0	0	0	0	131	0	81	120	0	0	89	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127797	SFK175	SFK175_S298_L001_R1_001.fastq.gz	01d2d50748fc72f8ea621f455de1325e9c57fe990a04e5a68443677cb7d5d58b	SFK175_S298_L001_R2_001.fastq.gz	d193a129808710a621273b599fd0dfa79618e54b8f05589a168256d0399ccc2f	51702	24929	751	24864	742	9	1	56	8	23960	14	0	0	1975	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Astrocoeniidae	Stephanocoenia	intersepta	25.14404833	-80.25258833	08.27.19	19.5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21478	0	0	0	385	0	0	110	0	0	0	0	282	260	0	0	210	0	0	274	0	0	0	166	0	0	0	0	303	0	0	0	0	0	128	0	0	0	0	120	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127734	SFK111	SFK111_S235_L001_R1_001.fastq.gz	f25aad2f1caa6feda08f176d545b993fc93e37c9c4d7d90f857ece640ddbd6f6	SFK111_S235_L001_R2_001.fastq.gz	bf8a3be42dc5c64c72bb9cf6cbffa75c8b2b6d11e5abf7040b0df4aabddc2af8	32177	14408	567	14376	560	5	1	27	6	13830	16	0	0	1243	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Astrocoeniidae	Stephanocoenia	intersepta	24.49395667	-81.58831167	08.26.19	32.6	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12410	0	0	0	161	0	0	0	0	0	0	0	58	0	0	0	89	0	0	82	0	0	0	115	0	0	0	0	119	0	0	70	0	0	152	97	0	0	0	122	76	0	0	0	99	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127817	SFK195	SFK195_S318_L001_R1_001.fastq.gz	919cf766be3415236356eba2bc0e742b356af6590a72ea84956e5afe1f57a203	SFK195_S318_L001_R2_001.fastq.gz	4237d2366c93c8783f1666f8e688e7d61d815398ff8f26a60e5af52fd46da4c5	54092	26264	761	26240	760	24	1	0	0	25055	17	0	0	1954	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Astrocoeniidae	Stephanocoenia	intersepta	25.21752000	-80.19336833	08.28.19	45.4	72	11	7	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21805	0	0	0	967	0	0	0	0	0	0	0	286	227	0	0	205	0	0	223	0	0	0	126	0	0	0	0	233	0	233	243	0	0	162	137	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127640	SFK017	SFK017_S141_L001_R1_001.fastq.gz	8a88b66e702a6503f336c26fcba4d3aa374c73c369e49d26e1bf4aaa2a8375cd	SFK017_S141_L001_R2_001.fastq.gz	950995d08bbeea63fb90726849518f7031c801199fe64b02e615865a8c2e89b3	38434	17718	644	17689	642	25	1	4	1	17186	14	0	0	1506	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Astrocoeniidae	Stephanocoenia	intersepta	24.64042000	-83.10294333	08.23.19	30.5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15149	0	0	0	386	0	0	0	0	0	0	0	162	131	0	0	110	0	0	212	0	0	0	116	0	0	0	0	206	0	138	220	0	0	159	105	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127836	SFK214	SFK214_S337_L001_R1_001.fastq.gz	fee067401712b4903dec665d43d1fa1e02d32650f6d0249866358d5d6b4a1c3b	SFK214_S337_L001_R2_001.fastq.gz	8a54a594e6ae78e4bd28ebf9abd30b3b8a1b5444e7db9121fb73feaff72e66b5	16113	5723	310	5720	309	3	1	0	0	5469	17	0	0	473	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Astrocoeniidae	Stephanocoenia	intersepta	25.21752000	-80.19336833	08.28.19	41.8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4789	0	0	0	146	0	0	31	0	0	0	0	52	46	0	0	60	0	0	59	0	0	0	23	0	0	0	0	42	0	26	43	0	0	0	0	37	0	0	0	0	31	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
