location,type,long,lat
Carysfort,SPA,-80.2295,25.204
Carysfort,SPA,-80.21633333,25.2005
Carysfort,SPA,-80.2,25.22966667
Carysfort,SPA,-80.213,25.2355
The Elbow,SPA,-80.26783333,25.14166667
The Elbow,SPA,-80.26066667,25.13633333
The Elbow,SPA,-80.25366667,25.14916667
The Elbow,SPA,-80.2605,25.1495
FKNMS2,Sanctuary,-82.9,24.56667
FKNMS2,Sanctuary,-82.96667,24.56667
FKNMS2,Sanctuary,-82.96667,24.65
FKNMS2,Sanctuary,-82.9,24.71667
FKNMS2,Sanctuary,-82.86667,24.72556
FKNMS2,Sanctuary,-82.80001,24.72556
FKNMS2,Sanctuary,-82.76667,24.7
FKNMS2,Sanctuary,-82.76667,24.66667
FKNMS2,Sanctuary,-82.80001,24.61667
FKNMS2,Sanctuary,-82.9,24.56667
FKNMS1,Sanctuary,-80.36468,25.32709
FKNMS1,Sanctuary,-80.36463,25.32712
FKNMS1,Sanctuary,-80.36457,25.32728
FKNMS1,Sanctuary,-80.36448,25.32738
FKNMS1,Sanctuary,-80.36445,25.32758
FKNMS1,Sanctuary,-80.36435,25.32775
FKNMS1,Sanctuary,-80.36434,25.32778
FKNMS1,Sanctuary,-80.36428,25.32779
FKNMS1,Sanctuary,-80.36416,25.32779
FKNMS1,Sanctuary,-80.36409,25.32777
FKNMS1,Sanctuary,-80.36403,25.32781
FKNMS1,Sanctuary,-80.36399,25.32788
FKNMS1,Sanctuary,-80.36387,25.32792
FKNMS1,Sanctuary,-80.36383,25.32797
FKNMS1,Sanctuary,-80.3638,25.32804
FKNMS1,Sanctuary,-80.36374,25.32807
FKNMS1,Sanctuary,-80.36371,25.3281
FKNMS1,Sanctuary,-80.36341,25.32822
FKNMS1,Sanctuary,-80.36331,25.32812
FKNMS1,Sanctuary,-80.36319,25.32808
FKNMS1,Sanctuary,-80.36313,25.3281
FKNMS1,Sanctuary,-80.36304,25.32821
FKNMS1,Sanctuary,-80.36299,25.32833
FKNMS1,Sanctuary,-80.36296,25.32844
FKNMS1,Sanctuary,-80.36284,25.32863
FKNMS1,Sanctuary,-80.36274,25.32866
FKNMS1,Sanctuary,-80.3627,25.32864
FKNMS1,Sanctuary,-80.36267,25.32859
FKNMS1,Sanctuary,-80.36254,25.32851
FKNMS1,Sanctuary,-80.36252,25.32837
FKNMS1,Sanctuary,-80.36248,25.32832
FKNMS1,Sanctuary,-80.36242,25.32833
FKNMS1,Sanctuary,-80.36235,25.32835
FKNMS1,Sanctuary,-80.36232,25.32843
FKNMS1,Sanctuary,-80.36238,25.32851
FKNMS1,Sanctuary,-80.36236,25.32855
FKNMS1,Sanctuary,-80.36231,25.32855
FKNMS1,Sanctuary,-80.36213,25.32848
