# File generated at 2021-05-11 02:02:47 CST
# Generated by StructureSelector
# http://lmme.qdio.ac.cn/StructureSelector/
# https://lmme.ac.cn/StructureSelector/        
# Contact: Yulong Li <liyulong12@mails.ucas.ac.cn>
# Citation: Li YL, Liu JX (2018) StructureSelector: A web based software to select and visualize the optimal number of 
# clusters using multiple methods.Molecular Ecology Resources, 18:176–177.
#
# Puechmaille Method:
# Citation:
# Puechmaille SJ (2016) The program structure does not reliably recover the correct population structure 
# when sampling is uneven: subsampling and new estimators alleviate the problem. Molecular Ecology Resources, 16: 608-627.
K	MedMed	MedMean	MaxMed	MaxMean	Reps
1	1	1	1	1	50
2	1	1	1	1	50
3	1	1	1	1	50
4	1	1	1	1	50
5	1	1	2	1	50
6	1	0	1	1	50
7	0	0	1	1	50
8	0	0	1	1	50
9	0	0	0	0	50
10	0	0	0	0	50
11	0	0	0	0	50
	MedMedK	MedMeaK	MaxMedK	MaxMeaK
ALL	1	1	2	1
