sample,sampleID,tubeID,site,location,siteID,date,species,latDD,longDD,depthFt,depthM,depthZone
SFK001,22-VIII-19-1-002,SFK001,Tortugas Bank,Sherwood Forrest,Site 17,8/22/19,Stephanocoenia intersepta,24.65211,-83.103095,115,35.1,Mesophotic
SFK002,22-VIII-19-1-004,SFK002,Tortugas Bank,Sherwood Forrest,Site 17,8/22/19,Stephanocoenia intersepta,24.65211,-83.103095,113,34.4,Mesophotic
SFK003,22-VIII-19-1-006,SFK003,Tortugas Bank,Sherwood Forrest,Site 17,8/22/19,Stephanocoenia intersepta,24.65211,-83.103095,115,35.1,Mesophotic
SFK004,22-VIII-19-1-008,SFK004,Tortugas Bank,Sherwood Forrest,Site 17,8/22/19,Stephanocoenia intersepta,24.65211,-83.103095,110,33.5,Mesophotic
SFK005,22-VIII-19-1-009,SFK005,Tortugas Bank,Sherwood Forrest,Site 17,8/22/19,Stephanocoenia intersepta,24.65211,-83.103095,113,34.4,Mesophotic
SFK006,22-VIII-19-1-010,SFK006,Tortugas Bank,Sherwood Forrest,Site 17,8/22/19,Stephanocoenia intersepta,24.65211,-83.103095,113,34.4,Mesophotic
SFK007,22-VIII-19-1-011,SFK007,Tortugas Bank,Sherwood Forrest,Site 17,8/22/19,Stephanocoenia intersepta,24.65211,-83.103095,114,34.7,Mesophotic
SFK008,22-VIII-19-1-012,SFK008,Tortugas Bank,Sherwood Forrest,Site 17,8/22/19,Stephanocoenia intersepta,24.65211,-83.103095,112,34.1,Mesophotic
SFK009,22-VIII-19-1-016,SFK009,Tortugas Bank,Sherwood Forrest,Site 17,8/22/19,Stephanocoenia intersepta,24.65211,-83.103095,113,34.4,Mesophotic
SFK010,22-VIII-19-2-006,SFK010,Tortugas Bank,Sherwood Forrest,Site 33,8/22/19,Stephanocoenia intersepta,24.66019667,-83.07890333,48,14.6,Shallow
SFK011,23-VIII-19-1-003,SFK011,Tortugas Bank,Sherwood Forrest,Site 35/36,8/23/19,Stephanocoenia intersepta,24.64042,-83.10294333,101,30.8,Mesophotic
SFK012,23-VIII-19-1-017,SFK012,Tortugas Bank,Sherwood Forrest,Site 35/36,8/23/19,Stephanocoenia intersepta,24.64042,-83.10294333,97,29.6,Shallow
SFK013,23-VIII-19-1-018,SFK013,Tortugas Bank,Sherwood Forrest,Site 35/36,8/23/19,Stephanocoenia intersepta,24.64042,-83.10294333,95,29,Shallow
SFK014,23-VIII-19-1-019,SFK014,Tortugas Bank,Sherwood Forrest,Site 35/36,8/23/19,Stephanocoenia intersepta,24.64042,-83.10294333,99,30.2,Mesophotic
