Pos,Name,Ct SYBR,Amount SYBR,Target SYBR
A1,,24.36,-,
A2,,22.74,-,
A3,,20.27,-,
A4,,23.20,-,
A5,,19.10,-,
A6,,24.46,-,
A7,,23.51,-,
A8,,23.26,-,
A9,,19.71,-,
A10,,21.61,-,
A11,,20.02,-,
A12,,20.94,-,
B1,,20.18,-,
B2,,20.18,-,
B3,,19.71,-,
B4,,19.99,-,
B5,,19.94,-,
B6,,20.70,-,
B7,,22.08,-,
B8,,20.94,-,
B9,,20.73,-,
B10,,21.28,-,
B11,,21.46,-,
B12,,21.74,-,
C1,,21.40,-,
C2,,20.87,-,
C3,,20.19,-,
C4,,19.42,-,
C5,,21.03,-,
C6,,20.83,-,
C7,,21.13,-,
C8,,20.44,-,
C9,,20.32,-,
C10,,21.22,-,
C11,,21.33,-,
C12,,20.37,-,
D1,,21.15,-,
D2,,21.42,-,
D3,,20.50,-,
D4,,20.05,-,
D5,,19.83,-,
D6,,19.61,-,
D7,,21.11,-,
D8,,21.06,-,
D9,,20.04,-,
D10,,21.15,-,
D11,,20.42,-,
D12,,20.92,-,
E1,,21.36,-,
E2,,20.76,-,
E3,,19.93,-,
E4,,21.83,-,
E5,,20.39,-,
E6,,20.94,-,
E7,,22.93,-,
E8,,22.13,-,
E9,,20.10,-,
E10,,21.64,-,
E11,,20.88,-,
E12,,20.79,-,
F1,,21.37,-,
F2,,20.74,-,
F3,,21.05,-,
F4,,21.64,-,
F5,,21.08,-,
F6,,21.24,-,
F7,,21.18,-,
F8,,22.28,-,
F9,,20.28,-,
F10,,21.48,-,
F11,,20.91,-,
F12,,21.07,-,
G1,,20.81,-,
G2,,21.74,-,
G3,,20.91,-,
G4,,19.49,-,
G5,,19.54,-,
G6,,21.44,-,
G7,,20.78,-,
G8,,21.47,-,
G9,,20.60,-,
G10,,23.14,-,
G11,,21.16,-,
G12,,20.29,-,
H1,,26.92,-,
H2,,27.22,-,
H3,,27.17,-,
,,,,
Analysis Parameters,,,,
Type of Application,Quantification,,,
Dye(s),SYBR,,,
Inverted Data,OFF,,,
Threshold setting,Noiseband,,,
Threshold level,535,,,
Baseline setting,Automatic,,,
Baseline range (from cycle no. ... to),n/a,,,
Drift Correction,OFF,,,
