"Pos","Name","Ct SYBR","Amount SYBR","Target SYBR"
"A1","",24.23,"-",""
"A2","",24.56,"-",""
"A3","",22.92,"-",""
"A4","",23.09,"-",""
"A5","",21.83,"-",""
"A6","",23.86,"-",""
"A7","",23.17,"-",""
"A8","",22.77,"-",""
"A9","",22.86,"-",""
"A10","",23.21,"-",""
"A11","",23.25,"-",""
"A12","",23.42,"-",""
"B1","",24.86,"-",""
"B2","",24.03,"-",""
"B3","",23.54,"-",""
"B4","",23.25,"-",""
"B5","",23.90,"-",""
"B6","",23.07,"-",""
"B7","",23.66,"-",""
"B8","",23.23,"-",""
"B9","",23.98,"-",""
"B10","",23.73,"-",""
"B11","",23.15,"-",""
"B12","",23.67,"-",""
"C1","",24.59,"-",""
"C2","",24.72,"-",""
"C3","",23.59,"-",""
"C4","",24.14,"-",""
"C5","",24.21,"-",""
"C6","",24.99,"-",""
"C7","",23.82,"-",""
"C8","",23.53,"-",""
"C9","",22.80,"-",""
"C10","",23.84,"-",""
"C11","",24.16,"-",""
"C12","",24.42,"-",""
"D1","",25.54,"-",""
"D2","",25.88,"-",""
"D3","",24.76,"-",""
"D4","",25.24,"-",""
"D5","",24.79,"-",""
"D6","",25.22,"-",""
"D7","",24.05,"-",""
"D8","",24.73,"-",""
"D9","",25.17,"-",""
"D10","",23.99,"-",""
"D11","",24.44,"-",""
"D12","",27.43,"-",""
"E1","",25.34,"-",""
"E2","",25.25,"-",""
"E3","",25.73,"-",""
"E4","",26.41,"-",""
"E5","",25.89,"-",""
"E6","",26.70,"-",""
"E7","",24.40,"-",""
"E8","",26.42,"-",""
"E9","",26.47,"-",""
"E10","",25.95,"-",""
"E11","",25.36,"-",""
"E12","",27.52,"-",""

"Analysis Parameters"
"Type of Application","Quantification"
"Dye(s)","SYBR"
"Inverted Data","OFF"
"Threshold setting","Noiseband"
"Threshold level",588
"Baseline setting","Automatic"
"Baseline range (from cycle no. ... to)","n/a"
"Drift Correction","OFF"
