,region,location,site,date,sampleID,tubeID,species,latDD,longDD,depthFt,depthM,depthZone,collection,rackID,n
1,TER-North,Sherwood Forrest,Site 17,8/22/19,22-VIII-19-1-002,S001,Stephanocoenia intersepta,24.65211,-83.103095,115,35.1,Mesophotic,Tech Dive,1,25
2,TER-North,Sherwood Forrest,Site 17,8/22/19,22-VIII-19-1-004,S002,Stephanocoenia intersepta,24.65211,-83.103095,113,34.4,Mesophotic,Tech Dive,1,25
3,TER-North,Sherwood Forrest,Site 17,8/22/19,22-VIII-19-1-006,S003,Stephanocoenia intersepta,24.65211,-83.103095,115,35.1,Mesophotic,Tech Dive,1,25
4,TER-North,Sherwood Forrest,Site 17,8/22/19,22-VIII-19-1-008,S004,Stephanocoenia intersepta,24.65211,-83.103095,110,33.5,Mesophotic,Tech Dive,1,25
5,TER-North,Sherwood Forrest,Site 17,8/22/19,22-VIII-19-1-009,S005,Stephanocoenia intersepta,24.65211,-83.103095,113,34.4,Mesophotic,Tech Dive,1,25
6,TER-North,Sherwood Forrest,Site 17,8/22/19,22-VIII-19-1-010,S006,Stephanocoenia intersepta,24.65211,-83.103095,113,34.4,Mesophotic,Tech Dive,1,25
7,TER-North,Sherwood Forrest,Site 17,8/22/19,22-VIII-19-1-011,S007,Stephanocoenia intersepta,24.65211,-83.103095,114,34.7,Mesophotic,Tech Dive,1,25
8,TER-North,Sherwood Forrest,Site 17,8/22/19,22-VIII-19-1-012,S008,Stephanocoenia intersepta,24.65211,-83.103095,112,34.1,Mesophotic,Tech Dive,1,25
9,TER-North,Sherwood Forrest,Site 17,8/22/19,22-VIII-19-1-016,S009,Stephanocoenia intersepta,24.65211,-83.103095,113,34.4,Mesophotic,Tech Dive,1,25
10,TER-North,Sherwood Forrest,Site 33,8/22/19,22-VIII-19-2-006,S010,Stephanocoenia intersepta,24.66019667,-83.07890333,48,14.6,Shallow,Scuba,1,30
11,TER-North,Sherwood Forrest,Site 35/36,8/23/19,23-VIII-19-1-003,S011,Stephanocoenia intersepta,24.64042,-83.10294333,101,30.8,Mesophotic,Tech Dive,1,25
12,TER-North,Sherwood Forrest,Site 35/36,8/23/19,23-VIII-19-1-017,S012,Stephanocoenia intersepta,24.64042,-83.10294333,97,29.6,Shallow,Tech Dive,1,30
13,TER-North,Sherwood Forrest,Site 35/36,8/23/19,23-VIII-19-1-018,S013,Stephanocoenia intersepta,24.64042,-83.10294333,95,29,Shallow,Tech Dive,1,30
14,TER-North,Sherwood Forrest,Site 35/36,8/23/19,23-VIII-19-1-019,S014,Stephanocoenia intersepta,24.64042,-83.10294333,99,30.2,Mesophotic,Tech Dive,1,25
15,TER-North,Sherwood Forrest,Site 35/36,8/23/19,23-VIII-19-1-020,S015,Stephanocoenia intersepta,24.64042,-83.10294333,100,30.5,Mesophotic,Tech Dive,1,25
16,TER-North,Sherwood Forrest,Site 35/36,8/23/19,23-VIII-19-1-021,S016,Stephanocoenia intersepta,24.64042,-83.10294333,98,29.9,Shallow,Tech Dive,1,30
17,TER-North,Sherwood Forrest,Site 35/36,8/23/19,23-VIII-19-1-022,S017,Stephanocoenia intersepta,24.64042,-83.10294333,100,30.5,Mesophotic,Tech Dive,1,25
