region,location,site,date,sampleID,species,latDD,longDD,depthFt,depthM,depthZone,collection,rackID
TER-North,Sherwood Forrest,Site 17,8/22/19,22-VIII-19-1-005,Orbicella faveolata,24.65211,-83.103095,113,34.4,Mesophotic,Tech Dive,1
TER-North,Sherwood Forrest,Site 17,8/22/19,22-VIII-19-1-013,Orbicella faveolata,24.65211,-83.103095,111,33.8,Mesophotic,Tech Dive,1
TER-North,Sherwood Forrest,Site 17,8/22/19,22-VIII-19-1-015,Orbicella faveolata,24.65211,-83.103095,113,34.4,Mesophotic,Tech Dive,1
TER-North,Sherwood Forrest,Site 35/36,8/23/19,23-VIII-19-4-029,Orbicella faveolata,24.640415,-83.10294667,99,30.2,Mesophotic,Scuba,1
TER-North,Sherwood Forrest,Site 35/36,8/23/19,23-VIII-19-4-032,Orbicella faveolata,24.640415,-83.10294667,94,28.7,Shallow,Scuba,1
TER-North,Sherwood Forrest,Site 35/36,8/23/19,23-VIII-19-4-036,Orbicella faveolata,24.640415,-83.10294667,96,29.3,Shallow,Scuba,1
TER-North,Sherwood Forrest,Site 35/36,8/23/19,23-VIII-19-4-038,Orbicella faveolata,24.640415,-83.10294667,97,29.6,Shallow,Scuba,1
TER-North,Sherwood Forrest,Site 35/36,8/23/19,23-VIII-19-4-039,Orbicella faveolata,24.640415,-83.10294667,95,29,Shallow,Scuba,1
TER-North,Sherwood Forrest,Site 35/36,8/23/19,23-VIII-19-4-040,Orbicella faveolata,24.640415,-83.10294667,99,30.2,Mesophotic,Scuba,1
TER-North,Sherwood Forrest,Site 35/36,8/23/19,23-VIII-19-4-041,Orbicella faveolata,24.640415,-83.10294667,96,29.3,Shallow,Scuba,1
TER-South,Riley's Hump,Site 18,8/24/19,24-VIII-19-1-039,Orbicella faveolata,24.49396,-83.09607833,104,31.7,Mesophotic,Tech Dive,1
TER-South,Riley's Hump,Site 18,8/24/19,24-VIII-19-1-041,Orbicella faveolata,24.49396,-83.09607833,105,32,Mesophotic,Tech Dive,1
